series,season,number,title,director,writer,air_date,description
Bewitched,1,11,It Takes One to Know One,William Asher,Jack Sher,1964-11-26,"Endora shows Samantha several pictures of women that she found in Darrin's briefcase. Sam isn't concerned. It turns out that Darrin is searching for a beautiful model to be ""Miss Jasmine"" for Jasmine Perfume. Janine Fleur (Lisa Seagram) shows up at Darrin's office and Darrin and Larry have found who they're looking for. After a photo shoot, Janine asks Darrin to lunch. When he says he's to meet Sam, Janine says he should find another model. Darrin cancels his lunch date with Sam to talk to Janine. Sam takes Endora to where Darrin is lunching with Janine to prove there's nothing going on. Samantha recognizes Janine as Sarah Baker the witch. Sam learns that Endora brought Sarah in to seduce Darrin. She tells Sarah to stay away from Darrin. Sarah is determined to fulfill what she set out to do, despite Endora calling off the contract. Samantha, who still has faith in her husband, tells Sarah to not use any tricks and let Darrin act of his own feel will. Sam does have to help Darrin as Sarah is still playing dirty. In the end, Sarah's scheme doesn't work."
Bewitched,1,12,...And Something Makes Three,William Asher,Danny Arnold,1964-12-03,"Larry sees Louise (Irene Vernon) and Samantha entering an obstetrician's office and assumes Darrin is about to become a father. It is actually Louise who is pregnant, but she is afraid to tell Larry. After Larry tells Darrin, he has a daydream about Samantha having ""witch"" children. When the four of them have dinner that night, the truth comes out. Maureen McCormick guest-stars as Little Endora, one of the witch children.

Note: Filmed October 22, 1964"
Bewitched,1,13,Love Is Blind,William Asher,Roland Wolpert,1964-12-10,"Samantha asks Darrin to help her plain friend Gertrude (Kit Smythe) find a beau. When a handsome artist, Kermit (Adam West), is attracted to her, Darrin accuses Gertrude of being a witch. Samantha refuses to tell, leaving Darrin to try to break up the budding romance by calling on model Susan (Chris Noel), Kermit’s ex-girlfriend.

Note: Filmed October 29, 1964"
Bewitched,1,14,Samantha Meets the Folks,William Asher,Bernard Slade,1964-12-17,"Aunt Clara (Marion Lorne) comes to visit when Samantha meets Darrin's parents for the first time. His mother, Phyllis (Mabel Albertson) feels pushed aside, but his father Frank (Robert F. Simon) likes Samantha, thinking she's a lovely girl.  When her daughter-in-law serves a magnificent dinner, Samantha confesses that it was actually Aunt Clara who helped her with the food, and that she is still learning how to be a magnificent cook.

Note: Filmed November 5, 1964"
Bewitched,1,15,A Vision of Sugar Plums,Alan Rafkin,Herman Groves,1964-12-24,"The Kravitzes and Stephenses participate in a program that allows orphaned children to stay with adults for the holidays. When the Stephenses' young charge reveals that he does not believe in Santa Claus, Samantha takes him to the North Pole. Bill Daily and Billy Mumy guest-star.  Cecil Kellaway appears as Santa Claus.

Note: Filmed November 12, 1964"
Bewitched,1,16,It's Magic,Sidney Miller,Tom Waldman & Frank Waldman,1965-01-07,"Samantha hires Zeno the Great (Walter Burke) to perform at a charity bazaar and becomes his assistant to help the magician gain self-confidence. When Roxie (Virginia Martin), Zeno's former assistant, returns to capitalize on his newly found fame, Samantha tries to stop the scene-stealing. Cliff Norton appears as Norman the Waiter.

Note: Filmed November 27, 1964"
Bewitched,1,17,A Is for Aardvark,Ida Lupino,Earl Barret,1965-01-14,"When an ankle injury confines Darrin to bed, Samantha enchants the house so it can fulfill Darrin's needs. Darrin becomes intoxicated with the idea of magic, and starts encouraging Samantha to use her powers, but the change is not all for the better. Darrin quits his job and wants to travel the world. But soon he comes to realize he likes his old life better.

Note: Filmed November 18, 1964. Endora addresses her son-in-law as ""Darrin"" for the first of only eight times in the series."
Bewitched,1,18,The Cat's Meow,David McDearmon,Richard Sale & Mary Sale,1965-01-21,"Accompanying a beautiful, sexy client (Martha Hyer) to Chicago, Darrin begins to act strangely when he suspects that her cat is actually Samantha in disguise.

Note: Filmed December 3, 1964"
Bewitched,1,19,A Nice Little Dinner Party,Sherman Marks,Bernard Slade,1965-01-28,"Promising to behave when she meets Darrin's parents, Endora turns on the charm and is promptly accused by Darrin's mother Phyllis of trying to steal her husband Frank's affections. Frank takes Endora to a play when Phyllis refuses to go. Phyllis wants a divorce when Frank doesn't come home that night, but he actually locked himself out and stayed at the club. Endora and Samantha use a little witchcraft to get them together. C. Lindsay Workman appears as a train conductor.

Note: Filmed December 10, 1964"
Bewitched,1,20,Your Witch Is Showing,Joseph Pevney,Joanne Lee,1965-02-04,"Darrin forbids Samantha to attend her cousin Mario's wedding in Egypt. Endora, who is livid, states that Darrin is in ""big trouble"". Darrin gets a new assistant named Gideon Whitsett (Jonathan Daly). Darrin is convinced Gideon is a warlock enlisted by Endora as a series of events makes Darrin look bumbling and stupid in front of a new client, and in turn makes Gideon look fantastic. Samantha uses a little magic to find out that Gideon is actually a conniving young man. Peggy Lipton makes a brief appearance as a secretary.

Note: Filmed December 16, 1964"
Bewitched,1,21,Ling Ling,David McDearmon,Story by : Anthony WilsonTeleplay by : Jerry Davis,1965-02-11,"Knowing that Darrin needs a new model for a campaign, Samantha turns a stray Siamese cat into an attractive woman named Ling Ling (Greta Chi). But the appearance of Ling-Ling, who knows she's a cat and brings those cat sensibilities to her human life, has unintended consequences, most specifically that the agency's up and coming photographer, Wally (Jeremy Slate), starts to fall in love with her. Ling-Ling, in turn, likes the attention she is receiving from Wally as opposed to the life of a cat. Samantha has to figure out how to tell Darrin the truth about Ling-Ling while she and Darrin try to persuade Wally that Ling-Ling is not the right woman for him.

Note: Filmed December 16, 1964"
Bewitched,1,22,Eye of the Beholder,William Asher,Herman Groves,1965-02-25,"While Darrin, Samantha and Endora are browsing through an antiques store, Endora believes it's time Darrin suspected that Samantha may not be as young as her mortal equivalent would be. Darrin sees a 300-year-old painting, ""Maid of Salem"", which bears a striking resemblance to Samantha, causing him to question her age and their relationship. As Darrin contemplates his future with Samantha under these circumstances, Samantha has to figure out a way to save her marriage if the truth truly does come to light.

Note: Filmed January 11, 1965"
Bewitched,1,23,"Red Light, Green Light",David McDearmon,Roland Wolpert,1965-03-04,"The mayor (Dan Tobin), ignoring his constituents' request to have a traffic light installed at a busy intersection, needs some of Samantha's witchcraft to convince him otherwise. Vic Tayback appears as the mayor's chauffeur.

Note: Filmed December 31, 1964"
Bewitched,1,24,Which Witch Is Which?,William D. Russell,Earl Barret,1965-03-11,"To assist her daughter in a dress fitting, Endora transforms herself into a double of Samantha. While at the fitting, Robert Frazer (Ron Randell), a young writer, becomes smitten with her. Endora decides to cavort with him as Samantha. Meanwhile, Gladys Kravitz thinks Samantha is having a secret affair. There are further complications when it turns out that Bob is an old friend of Darrin's. Endora shows up (as Samantha) at a dinner that Darrin, Sam and Bob are having. Bob now believes Endora is Sam's twin.

Note: Filmed January 18, 1965; remade in Season 6 as ""A Chance on Love"", broadcast March 19, 1970."
Bewitched,1,25,Pleasure O'Riley,William D. Russell,Ken Englund,1965-03-18,"Flirtatious neighbor Pleasure O'Riley (Kipp Hamilton) moves in next door to the Stephenses. Samantha doesn't really appreciate Pleasure's ignorantly blissful helpless girl demeanor, or Darrin's seeming fawning over her at her beck and call because of it. Her incredibly jealous boyfriend, 'Thunderbolt' Swenson (Ken Scott), mistakenly suspects both Darrin and Abner Kravitz of impropriety.

Note: Filmed January 25, 1965"
Bewitched,1,26,Driving Is the Only Way to Fly,William Asher,Richard Baer,1965-03-25,"After an argument while he is teaching her to drive, Darrin enrolls Samantha in a driving school. The owner (Paul Bryar) assigns his nervous brother-in-law Harold (Paul Lynde) to teach her. Samantha gives Harold a little self confidence.

Note: Filmed February 5, 1965. Lynde was cast as Uncle Arthur starting in Season 2."
Bewitched,1,27,There's No Witch Like an Old Witch,William Asher,Ted Sherdeman & Jane Klove,1965-04-01,"When a depressed Aunt Clara volunteers to babysit for a friend of Samantha and Darrin's, her magical tricks with toys and games make her a success, and she quickly becomes the most popular caretaker in the neighborhood. But after she tells her charges that she is a witch, a suspicious mother brings her before a judge for a competency hearing. Reta Shaw appears as Bertha.

Note: Filmed February 12, 1965; reworked in Season 8 as ""Samantha's Magic Sitter"", broadcast January 5, 1972."
Bewitched,1,28,"Open the Door, Witchcraft",William Asher,Ruth Brooks Flippen,1965-04-08,"Samantha uses her powers to open her garage door as Gladys is watching from across the street. Darrin and Samantha buy an electric garage door to avoid further suspicions from Gladys, but unseen mortal technology causes additional problems and suspicions.

Note: Filmed February 18, 1965"
Bewitched,1,29,Abner Kadabra,William Asher,Lawrence J. Cohen & Fred Freeman,1965-04-15,"When Gladys finally catches Samantha in the act of using her powers, the quick-thinking witch convinces the snoop that she possesses the gift of ESP. Things take a turn for the worse when Gladys will not stop trying to use her new ""talent"" in every situation, which frustrates Abner. Samantha holds a seance to scare Gladys into giving up her thoughts of having powers.

Note: Filmed February 25, 1965; remade in Season 7 as ""Samantha and the Antique Doll"", broadcast April 22, 1971."
Bewitched,1,30,"George, the Warlock",William Asher,Ken Englund,1965-04-22,"While Darrin spends time with neighbor Pleasure O'Riley's sister, Dora ""D.D."" Danger O'Riley (Beverly Adams), Endora arranges for handsome warlock George (Christopher George) to woo Samantha to break up her marriage to Darrin. But when George arrives on the scene, he isn't sure if it's Samantha he wants or Danger.

Note: Filmed March 4, 1965"
Bewitched,1,31,That Was My Wife,William Asher,Bernard Slade,1965-04-29,"Samantha and Darrin spend the night at a hotel and Samantha briefly changes her hair to brunette. Larry spots them and thinks Darrin is having an affair. Larry proceeds to tell Louise. Louise meets with Darrin at a hotel hoping to convince him to drop the other woman. Larry spots them and thinks Darrin's other woman is Louise.

Note: Filmed March 15, 1965"
Bewitched,1,32,Illegal Separation,William Asher,Richard Baer,1965-05-06,"Gladys and Abner have yet another fight, but this time, the frustrated busybody kicks her husband out of the house. Abner seeks shelter at the Stephenses' home and quickly wears out his welcome. Sam decides to reunite the couple by having them simultaneously dream of the day Abner proposed.

Note: Filmed March 19, 1965. In the episode's dream sequence, Gladys's maiden name is revealed as Gruber."
Bewitched,1,33,A Change of Face,William Asher,Bernard Slade,1965-05-13,"Endora decides to experiment with different looks to Darrin's face while he is taking a nap. As Samantha forgets to change him back, a horrified Darrin sees the transformation they did to his face after he awakens. He becomes self-conscious about the way he looks. Samantha disguises herself as a sexy French sculptor (Marilyn Hanold) to help repair her husband's tattered ego.

Note: Filmed March 25, 1965"
Bewitched,1,34,Remember the Main,William D. Russell,Mort R. Lewis,1965-05-20,"Samantha volunteers to work on the election campaign of Ed Wright (Edward Mallory), who is running for Morning Glory Circle councilor against long time incumbent John C. Cavanaugh (Byron Morrow). Wright wants to expose Cavanaugh's immoral and illegal dealings in past capital works projects. With Endora's help, that is what happens.

Note: Filmed February 1, 1965"
Bewitched,1,35,Eat at Mario's,William Asher,Richard Baer,1965-05-27,"Samantha and Endora believe the food they eat at Mario's (Vito Scotti), a small, independent Italian restaurant, is the best Italian food they've ever eaten. Samantha believes all Mario needs is a little advertising. So Samantha, using witchcraft, decides to provide some advertising for Mario's. The problem is that Darrin's new client, Linton H. Baldwin (Alan Hewitt), is the owner of a pizza chain looking to expand its market. He pulls his account from Darrin's firm to go with Samantha's supposed agency. Samantha has to figure out a way to help Mario yet save Darrin's career by Baldwin keeping his account at McMann & Tate.

Note: Filmed April 1, 1965"
Bewitched,1,36,Cousin Edgar,E. W. Swackhamer,Story by : John L. Greene & Paul DavidTeleplay by : Paul Wayne,1965-06-03,"Darrin suspects Endora of using magic to break up his marriage and ruin his reputation at work again. It is actually Samantha's distant cousin Edgar (Arte Johnson), an elf who has the power to become invisible. Edgar feels their marriage isn't the right thing for Samantha. So he goes on a campaign to make Darrin's life a living hell, including embarrassing Darrin in front of a potential client. Samantha convinces Cousin Edgar that Darrin is the best thing that has ever happened to her.

Note: Filmed April 8, 1965"
Bewitched,2,1,Alias Darrin Stephens,William Asher,Richard Baer,1965-09-16,"It's Samantha and Darrin's first wedding anniversary. After stopping by unexpectedly, Aunt Clara's magic accidentally turns him into a chimpanzee. Darrin has to avoid Larry Tate and work, until Aunt Clara can remember how to reverse the spell. He becomes trapped in the zoo after being reported found loose by Gladys Kravitz. Samantha learns that she is pregnant, and wants to tell Darrin the news, but she has to find him first.
Note: Filmed May 20, 1965

            This is the first episode featuring the Screen Gems ""S from Hell"" logo"
Bewitched,2,2,A Very Special Delivery,William Asher,Howard Leeds,1965-09-23,"Darrin is determined to make sure that Samantha doesn't strain herself during her pregnancy, and so waits on her hand and foot. When Larry convinces him that strenuous work is actually good for a pregnant woman, Darrin changes his tune and starts ignoring Samantha's needs. A furious Endora decides to teach Darrin an unforgettable lesson by making him undergo the symptoms of a pregnancy himself.

Note: Filmed May 26, 1965"
Bewitched,2,3,We're in for a Bad Spell,Howard Morris,Bernard Slade,1965-09-30,"Salem witch trial judge descendant Adam Newlarkin (William Redfield), an old Army friend of Darrin, is doomed to be a thief, unless Samantha and Darrin can find a way to lift a 300-year-old spell. The problem is, how will Darrin, Samantha and Aunt Clara get Adam to do the triumvirate of unusual tasks required within one day for the hex to be neutralized. Richard X. Slattery appears as Detective Pearson. Bartlett Robinson appears as Mr. Abercrombie, the bank manager.

Note: Filmed June 4, 1965"
Bewitched,2,4,"My Grandson, the Warlock",E. W. Swackhamer,Ted Sherdeman & Jane Klove,1965-10-07,"While Samantha is watching the Tates' new baby, Gladys Kravitz makes an ill-informed comment to Maurice who whisks his ""new"" grandson off to the London Warlocks' Club to begin his training. Samantha and Endora try to track down Maurice and the baby. Darrin has to stall Larry and Louise, who have just returned from London and who are anxious to see their son. Meanwhile, Maurice becomes frustrated as ""his"" grandson shows no signs of having powers, especially as he shows off the baby to his friends.

Note: Filmed July 1, 1965"
Bewitched,2,5,The Joker Is a Card,E. W. Swackhamer,Ron Friedman,1965-10-14,"When Samantha's attempt at a peaceful dinner with Darrin and Endora is ruined with practical jokes, the witches realize that Sam's prank-loving Uncle Arthur (Paul Lynde) has come for a visit. Arthur takes a liking to Darrin and offers to teach him a spell that will give Endora a taste of her own medicine. Darrin is persuaded when it seems like Endora is causing trouble in the workplace, but Arthur's hex turns out to be a hoax on him. Darrin, Samantha, and Endora decide to work together to give Uncle Arthur a taste of his own medicine.

Note: Filmed July 16, 1965; first of 10 appearances of Paul Lynde as Uncle Arthur."
Bewitched,2,6,Take Two Aspirin and Half a Pint of Porpoise Milk,William Asher,Bernard Slade,1965-10-21,"Samantha gets sick and loses her powers after coming into contact with black Peruvian roses. She then starts getting green squares all over her face. Aunt Clara sends Darrin off to gather items for the antidote that she will brew. These include ingredients such as bat wings, porpoise milk, eye of newt and an ostrich feather. But, it's the last ingredient that really gets Darrin into trouble.

Note: Filmed August 12, 1965; first supernatural illness episode; remade in Season 8 as ""Samantha's Witchcraft Blows a Fuse""."
Bewitched,2,7,Trick or Treat,E. W. Swackhamer,Lawrence J. Cohen & Fred Freeman,1965-10-28,"Endora wants Samantha to go away with her to celebrate a traditional Halloween ceremony. Darrin wants Samantha at home to host a party for potential new client Jack Rogers (Jack Collins). Seeking revenge, Endora turns herself into a little girl trick or treater (Maureen McCormick) and places a spell on Darrin that slowly turns him into a werewolf. But, as Jack Rogers' company makes Halloween props, this might not be such a bad thing.

Note: Filmed July 29, 1965."
Bewitched,2,8,The Very Informal Dress,William Asher,Paul David & John L. Greene,1965-11-04,"Aunt Clara provides Samantha and Darrin with new clothes to wear at an important cocktail party for prospective client Charles Barlow (Max Showalter). Barlow's company makes the ""Mother Jenny"" line of not very good tasting health food products. Sam and Darrin's clothing begins to vanish soon after their arrival. This ultimately gets Darrin into a bit of trouble with the police. Thanks to more of Aunt Clara's magic and a drunk (Dick Wilson) that Darrin is in a cell with, he manages to beat the rap. Hardie Albright appears as Judge Crosetti.

Note: Filmed June 14, 1965."
Bewitched,2,9,And Then I Wrote,E. W. Swackhamer,Paul Wayne,1965-11-11,"Samantha is writing a play for the American Civil War's centennial pageant, but she's having some writer's block. Endora suggests that she materialize the characters in front of her so that she can get a better idea of what to write. The problem is they now materialize whenever Samantha thinks about them. Samantha has to figure out a way to make her vivid imagination not so vivid. She gets some help from her characters.

Note: Filmed July 21, 1965."
Bewitched,2,10,Junior Executive,Howard Morris,Bernard Slade,1965-11-18,"Samantha wonders what Darrin looked liked as a child. Endora changes him into his ten-year-old self (Billy Mumy) and Darrin is furious--especially when Endora refuses to reverse the spell before a meeting with client Mr. Harding, a toymaker. But Mr. Harding and Larry are convinced that the young Darrin is actually an advertising prodigy and try to set up a meeting between the ""new kid"" and Darrin himself, leading to trouble.

Note: Filmed June 18, 1965"
Bewitched,2,11,Aunt Clara's Old Flame,E. W. Swackhamer,Bernard Slade,1965-11-25,"When Aunt Clara's old boyfriend Hedley Partridge (Charlie Ruggles) comes for a visit, Aunt Clara fears that he will discover her powers have dimmed with age. Hedley seems as virile and adept in his powers as he was when he was younger. In order to help Aunt Clara, Samantha performs whatever witchcraft Hedley asks of her. It turns out that Hedley's powers are fading as much as Clara's are.

Note: Filmed August 4, 1965; remade in Season 7 as ""Samantha's Magic Mirror""."
Bewitched,2,12,A Strange Little Visitor,E. W. Swackhamer,John L. Greene & Paul David,1965-12-02,"Samantha agrees to keep a ten-year-old warlock named Merle Brocken (Craig Hundley) overnight. But Merle has to promise to not do any magic in front of Darrin. Darrin finds out Merle is a warlock. Darrin may change his mind about Merle using his witchcraft when a burglar (Tim Herbert) breaks into the house looking to steal the expensive necklace he knows Darrin is keeping for Larry. James Doohan and Anne Sargent appear as Merle's parents.

Note: Filmed July 8, 1965"
Bewitched,2,13,"My Boss, the Teddy Bear",William Asher,Bernard Slade,1965-12-09,"Endora wants Samantha to attend a family wedding, and directly asks Larry if he will give Darrin some time off so he can travel with her. Larry wholeheartedly agrees, and to thank him, Endora conjures a teddy bear he has been looking for. Unfortunately, Darrin mistakenly believes that Endora has transformed his boss into the bear. Things get worse for Darrin when the teddy bear goes missing.

Note: Filmed September 10, 1965"
Bewitched,2,14,Speak the Truth,William Asher,Paul David & John L. Greene,1965-12-16,"Endora gives Darrin a statue that causes any mortal within three feet to tell the truth. The statue ends up causing some problems for Darrin with his work colleagues, clients and total strangers. But it might cause the most trouble when Darrin and Samantha host a small dinner party for the Tates and the Hotchkisses (Charles Lane and Elisabeth Fraser), potential new clients. While in the process of telling the truth, they all learn that the truth may not always be a bad thing.

Note: Filmed August 27, 1965; remade in Season 8 as the series finale, ""The Truth, Nothing But the Truth, So Help Me, Sam""."
Bewitched,2,15,A Vision of Sugar Plums,Alan Rafkin,Herman Groves,1965-12-23,"Samantha and Darrin get a card from the boy (Billy Mumy) they took in last year for Christmas and have an episode-long flashback of the previous year's holiday episode.

Note: repeat of ""A Vision of Sugar Plums"" (S1E15) with new cold open scenes."
