word;start;end
puis;189,40;189,70
après;189,70;190,12
donc;190,44;191,60
j;191,60;191,90
étais;191,90;191,90
une;191,90;192,14
année;192,14;192,32
à;192,32;192,60
classe;192,60;192,80
de;192,80;193,24
philo;193,24;193,24
au;193,24;193,62
lycée;193,62;193,62
Paul;193,62;193,90
Valéry;193,90;194,88
Et;198,16;198,76
après;198,76;199,36
bien;199,40;200,36
évidemment;200,36;200,36
à;202,74;202,74
Saint;202,74;202,98
Cier;202,98;203,12
et;203,12;203,22
puis;203,22;203,38
à;203,38;203,52
Sorbonne;203,52;203,98
D;204,76;205,06
accord;205,06;205,06
On;206,88;207,30
a;207,30;207,56
pu;207,56;207,76
se;207,76;208,26
croiser;208,26;208,26
peut;208,26;208,78
être;208,78;208,78
à;208,78;209,16
Saint;209,16;209,26
Cier;209,26;209,28
Voilà;209,30;209,30
voilà;209,30;209,92
Mais;209,98;210,14
simplement;210,14;210,54
vous;210,54;210,74
êtes;210,74;210,86
un;210,86;211,08
peu;211,08;211,10
plus;211,10;211,40
chers;211,40;211,52
que;211,52;211,72
nous;211,72;211,94
Et;214,98;215,40
donc;215,40;215,82
ces;215,82;216,34
années;216,34;216,54
d;216,54;216,98
école;216,98;216,98
ça;217,18;217,18
a;217,18;217,32
été;217,32;217,32
des;217,32;217,78
bonnes;217,78;217,80
années;217,80;218,12
;218,12;218,72
Vous;218,72;218,72
vous;218,72;219,24
en;219,24;219,32
souvenez;219,32;219,54
plutôt;219,54;220,08
avec;220,08;220,46
l;220,46;222,56
impression;222,56;222,74
que;222,74;222,92
ça;222,92;223,02
tournait;223,02;223,50
que;223,64;223,78
c;223,78;223,86
était;223,86;223,86
bien;223,86;224,36
au;225,06;225,26
contraire;225,26;225,36
d;225,36;225,96
un;225,96;225,96
tel;225,96;226,18
ennui;226,18;226,54
que;226,54;227,16
c;227,16;227,48
était;227,48;227,48
confortable;227,48;227,48
;227,48;227,50
Ah;227,50;227,50
non;227,50;227,50
non;227,50;227,50
non;227,50;227,54
pas;227,90;227,90
du;227,90;228,04
tout;228,04;228,22
non;228,44;228,54
non;228,56;228,70
pas;228,70;228,80
du;228,80;229,00
tout;229,00;229,10
Non;229,56;229,98
non;229,98;230,16
c;230,16;230,30
était;230,30;230,30
de;230,30;230,66
très;230,66;230,80
très;231,08;231,08
bonnes;231,08;231,20
années;231,20;231,40
ça;231,64;232,60
je;232,84;233,62
n;233,62;233,74
ai;233,74;233,74
rien;233,74;233,94
à;233,94;234,18
dire;234,18;234,18
C;234,18;234,56
était;234,56;234,62
vraiment;234,62;235,18
L;236,08;236,08
école;236,08;236,20
est;236,20;236,78
conçue;236,78;236,78
maintenant;236,78;237,00
comme;237,00;237,26
un;237,26;237,54
pinceau;237,54;237,98
Autrefois;238,66;238,66
ce;238,72;238,92
n;238,92;238,98
était;238,98;238,98
pas;238,98;239,22
le;239,22;239,72
cas;239,72;239,72
je;239,84;239,96
veux;239,96;240,20
dire;240,20;240,20
Oui;240,60;240,66
oui;240,80;240,84
non;240,86;240,96
non;240,98;241,08
c;241,08;241,08
était;241,08;241,08
de;241,08;241,70
très;241,70;241,70
bonnes;241,70;241,76
années;241,76;241,98
On;242,12;242,12
n;242,12;242,12
avait;242,12;242,12
pas;242,12;242,22
les;242,22;242,40
conditions;242,40;242,76
matérielles;242,76;243,26
qu;243,26;243,70
ils;243,70;243,70
ont;243,70;243,70
maintenant;243,70;243,98
Ça;244,62;244,90
on;245,16;245,58
avait;245,58;245,68
des;245,68;246,00
barraquements;246,00;246,50
là;246,50;246,84
quand;246,84;247,00
j;247,00;247,30
étais;247,30;247,30
de;247,30;248,12
sixième;248,12;248,32
à;248,32;248,52
troisième;248,52;249,04
au;249,76;250,28
lycée;250,28;250,54
Arago;250,54;252,02
c;252,14;252,32
était;252,32;252,32
des;252,32;253,04
barraquements;253,04;253,10
Quand;254,16;254,30
on;254,30;254,52
voit;254,52;254,62
maintenant;254,62;254,98
ce;254,98;255,44
qu;255,44;255,44
ils;255,44;255,44
ont;255,44;255,84
Et;255,84;255,84
nombreux;255,84;255,88
par;255,88;256,32
classe;256,32;256,44
nombreux;257,60;257,60
par;257,60;257,60
classe;257,60;257,60
On;258,42;258,70
n;258,70;259,04
était;259,04;259,04
pas;259,04;259,74
Ce;264,74;265,30
n;265,30;265,86
est;265,86;265,86
pas;265,86;265,86
les;265,86;266,82
conditions;266,82;267,20
matérielles;267,20;267,90
C;269,50;269,56
est;269,56;269,56
l;269,56;270,80
esprit;270,80;271,08
qui;271,08;271,96
a;271,96;272,06
peut;272,06;272,48
être;272,48;272,48
changé;272,48;272,68
Ça;273,48;273,48
j;273,48;273,48
avoue;273,48;273,74
qu;273,74;273,96
on;273,96;273,96
a;273,96;274,28
du;274,28;274,32
mal;274,32;274,38
Quand;274,54;274,56
on;274,56;274,74
voit;274,74;274,90
que;274,90;275,18
Paul;275,18;275,42
Valéry;275,42;275,80
passe;275,80;276,14
en;276,14;276,42
ZEP;276,42;276,70
je;277,58;277,82
veux;277,82;278,08
dire;278,08;278,16
ça;278,30;278,40
me;278,40;278,88
laisse;278,88;279,00
assez;279,00;280,44
rêveur;280,44;281,00
là;281,08;281,34
Sur;281,52;281,68
le;281,68;282,20
changement;282,20;282,56
qui;282,56;282,86
était;282,86;282,86
intervenu;282,86;282,88
Je;283,52;284,08
veux;284,08;284,26
dire;284,26;284,42
là;284,46;284,66
ça;284,66;284,80
me;284,80;285,02
laisse;285,02;285,02
rêveur;285,02;285,60
Paul;285,60;286,44
Valéry;286,44;286,88
en;286,88;287,16
ZEP;287,16;287,48
là;288,12;288,42
on;288,50;288,56
peut;288,56;288,76
dire;288,76;289,00
de;289,38;289,40
mon;289,40;289,76
temps;289,76;289,94
il;290,38;290,52
venait;290,52;290,70
d;290,70;290,96
être;290,96;291,46
Il;291,46;291,86
a;291,86;292,06
dû;292,06;292,10
être;292,10;292,34
construit;292,34;292,92
dans;292,92;293,14
les;293,14;293,70
années;293,70;293,70
64;293,70;295,32
65;295,46;296,58
Et;296,94;297,28
je;297,28;297,38
me;297,38;297,80
souviens;297,80;298,02
on;298,62;298,72
y;298,72;299,00
a;299,00;299,02
mené;299,02;299,16
un;299,16;299,78
étudiant;299,78;300,14
enfin;301,34;301,94
un;301,94;302,54
lycéen;302,54;303,02
américain;303,02;303,62
pour;303,68;304,04
lui;304,04;304,24
montrer;304,24;304,52
ce;304,52;304,72
qu;304,72;305,04
on;305,04;305,04
faisait;305,04;305,22
en;305,22;305,46
matière;305,46;305,82
d;305,82;306,42
éducation;306,42;306,90
à;306,90;307,52
l;307,52;307,80
époque;307,80;307,92
Je;308,28;308,28
veux;308,28;308,54
dire;308,54;308,78
là;309,08;310,24
L;310,56;311,16
exemple;311,16;311,48
Est;312,92;313,36
ce;313,36;313,40
que;313,40;314,04
vous;314,04;314,22
avez;314,22;314,40
des;314,40;314,68
enseignants;314,68;315,24
dont;315,24;315,70
vous;315,70;316,14
vous;316,14;316,42
souvenez;316,42;316,54
particulièrement;316,54;317,32
qui;317,52;317,54
vous;317,54;317,70
ont;317,70;317,88
marqué;317,88;318,40
soit;319,32;319,54
au;319,54;320,00
moment;320,00;320,16
de;320,16;320,26
l;320,26;320,70
école;320,70;320,70
soit;320,94;321,06
au;321,06;321,44
moment;321,44;321,44
du;321,44;321,62
lycée;321,62;322,00
;322,00;322,60
Moi;322,60;322,84
de;322,86;322,94
toute;322,94;323,14
façon;323,14;323,36
oui;323,48;323,62
je;323,62;323,66
me;323,66;324,02
souviens;324,02;324,02
absolument;324,02;324,48
de;324,48;324,74
tous;324,74;324,88
les;324,88;325,08
enseignants;325,08;325,56
que;325,56;326,12
j;326,12;326,34
ai;326,34;326,34
eus;326,34;326,50
