id;groupe;ipa;xsampa;dur;f0;f1;f2;f3
43;garçon;ɑ;A;416;214;1033;1929;3428
43;garçon;ɔ;O;441;215;1062;1475;3233
43;garçon;ɛ;E;258;205;533;2480;3378
43;garçon;e;e;325;209;570;3256;3584
43;garçon;ɜ˞;3';287;219;611;2033;2522
43;garçon;ɪ;I;267;212;557;2664;3468
43;garçon;i;i;343;222;436;3443;3843
43;garçon;o;o;300;221;568;1096;2991
43;garçon;ʊ;U;211;217;556;1558;3490
43;garçon;ʌ;V;226;207;744;1854;3360
43;garçon;u;u;315;214;435;1829;3316
44;garçon;æ;{;238;248;747;2703;3829
44;garçon;ɑ;A;220;235;1129;2005;2826
44;garçon;ɔ;O;218;221;1090;1465;2981
44;garçon;ɛ;E;222;229;868;2318;3567
44;garçon;e;e;223;234;618;2752;4040
44;garçon;ɜ˞;3';197;236;670;1899;2323
44;garçon;ɪ;I;168;236;550;2625;3774
44;garçon;i;i;193;237;479;3093;3755
44;garçon;o;o;222;234;688;1197;3184
44;garçon;ʊ;U;155;237;682;1571;3394
44;garçon;ʌ;V;184;227;885;1629;3430
44;garçon;u;u;192;243;497;1334;3067
45;garçon;æ;{;290;227;672;2484;3492
45;garçon;ɑ;A;259;234;1145;1655;3062
45;garçon;ɔ;O;274;246;998;1368;3282
45;garçon;ɛ;E;228;228;882;2524;3555
45;garçon;e;e;294;249;540;2687;3504
45;garçon;ɜ˞;3';286;230;627;1628;2058
45;garçon;ɪ;I;220;234;489;2730;3763
45;garçon;i;i;243;232;469;3278;4165
45;garçon;o;o;317;213;622;1223;3380
45;garçon;ʊ;U;241;239;512;1644;3483
45;garçon;ʌ;V;210;248;1045;1609;3456
45;garçon;u;u;248;248;498;1740;3291
46;garçon;æ;{;250;227;555;2569;3424
46;garçon;ɑ;A;186;215;1021;1720;3186
46;garçon;ɔ;O;259;218;1001;1488;3149
46;garçon;ɛ;E;227;230;733;2421;3250
46;garçon;e;e;259;235;558;2533;3224
46;garçon;ɜ˞;3';262;225;620;1689;2361
46;garçon;ɪ;I;170;226;444;2846;3518
46;garçon;i;i;258;238;472;3120;3574
46;garçon;o;o;246;222;643;1262;3194
46;garçon;ʊ;U;179;243;575;1580;3509
46;garçon;ʌ;V;177;229;646;1578;3366
46;garçon;u;u;227;225;446;1533;3269
47;home;æ;{;323;174;663;2012;2659
47;home;ɑ;A;316;159;813;1283;2687
47;home;ɔ;O;330;177;699;996;2548
47;home;ɛ;E;266;171;609;1980;2678
47;home;e;e;319;166;494;2113;2700
47;home;ɜ˞;3';324;175;506;1418;1849
47;home;ɪ;I;268;179;370;2161;2757
47;home;i;i;339;172;328;2418;2939
47;home;o;o;369;169;509;989;2561
47;home;ʊ;U;255;169;450;995;2519
47;home;ʌ;V;292;171;670;1178;2566
47;home;u;u;281;184;374;931;2433
48;home;æ;{;250;102;628;1871;2477
48;home;ɑ;A;249;101;749;1060;2842
48;home;ɔ;O;289;106;644;856;2627
48;home;ɛ;E;167;103;517;1917;2438
48;home;e;e;261;105;438;2196;2480
48;home;ɜ˞;3';296;111;457;1406;1685
48;home;ɪ;I;183;111;384;2039;2523
48;home;i;i;236;108;305;2320;3072
48;home;o;o;261;105;519;891;2532
48;home;ʊ;U;174;112;424;992;2249
48;home;ʌ;V;173;105;642;998;2682
48;home;u;u;257;114;319;938;2091
49;home;æ;{;344;99;605;1812;2570
49;home;ɑ;A;373;97;755;1133;2695
49;home;ɔ;O;355;93;647;926;2785
49;home;ɛ;E;284;95;559;1695;2413
49;home;e;e;353;91;438;2026;2476
49;home;ɜ˞;3';368;94;479;1252;1621
49;home;ɪ;I;262;101;411;1932;2569
49;home;i;i;315;96;331;2311;2865
49;home;o;o;417;96;496;863;2548
49;home;ʊ;U;275;96;489;1059;2567
49;home;ʌ;V;297;96;622;1075;2622
49;home;u;u;420;101;360;953;2505
50;home;æ;{;312;124;627;1910;2488
50;home;ɑ;A;302;127;832;1222;2624
50;home;ɔ;O;347;131;694;970;2746
50;home;ɛ;E;229;127;698;1580;2492
50;home;e;e;253;134;493;2102;2839
50;home;ɜ˞;3';332;134;460;1473;1764
50;home;ɪ;I;227;135;441;2045;2694
50;home;i;i;240;134;353;2385;3400
50;home;o;o;300;146;441;862;2455
50;home;ʊ;U;210;134;522;1123;2538
