id;groupe;ipa;dur;f0;f1;f2;f3
15;fille;ʌ;300;183;739;1411;3122
15;fille;u;274;241;491;1467;2936
16;fille;æ;352;246;726;2231;2932
16;fille;ɑ;327;245;898;1544;2862
16;fille;ɔ;315;264;744;1093;2898
16;fille;ɛ;189;241;749;1869;3107
16;fille;e;245;250;499;2356;2983
16;fille;ɜ˞;304;247;556;1741;2245
16;fille;ɪ;276;252;499;2230;3249
16;fille;i;331;259;493;2811;3481
16;fille;o;290;269;581;1115;2924
16;fille;ʊ;247;263;508;1245;2885
16;fille;ʌ;239;257;696;1297;2881
16;fille;u;228;262;505;1296;2619
17;fille;æ;307;249;741;2444;3043
17;fille;ɑ;281;254;1010;1705;2753
17;fille;ɔ;269;249;808;1467;2997
17;fille;ɛ;195;241;710;1993;3268
17;fille;e;265;257;621;2476;3195
17;fille;ɜ˞;304;272;559;1828;2163
17;fille;ɪ;196;264;535;2190;2998
17;fille;i;269;285;504;2803;3130
17;fille;o;260;257;613;1236;2766
17;fille;ʊ;189;236;563;1585;2841
17;fille;ʌ;233;266;780;1428;3070
17;fille;u;269;278;548;1377;2702
18;fille;æ;312;209;674;2663;3243
18;fille;ɑ;292;218;951;1982;2807
18;fille;ɔ;294;222;820;1356;2700
18;fille;ɛ;227;203;632;2431;3091
18;fille;e;285;222;652;2661;3448
18;fille;ɜ˞;278;217;571;1984;2206
18;fille;ɪ;263;212;520;2695;3373
18;fille;i;288;228;442;3135;3610
18;fille;o;335;185;548;1062;2926
18;fille;ʊ;294;252;578;1574;3026
18;fille;ʌ;241;235;754;1742;3002
18;fille;u;270;281;550;1114;3012
19;fille;æ;352;205;769;2234;2910
19;fille;ɑ;363;226;1010;1604;2588
19;fille;ɔ;376;240;831;1193;2566
19;fille;ɛ;274;204;642;2015;2916
19;fille;e;465;232;463;2745;3155
19;fille;ɜ˞;378;247;495;1555;1948
19;fille;ɪ;300;257;506;2432;3008
19;fille;i;398;247;427;2952;3556
19;fille;o;397;243;584;936;2679
19;fille;ʊ;270;221;531;1540;2931
19;fille;ʌ;254;212;632;1352;2740
19;fille;u;320;260;504;997;2826
20;fille;æ;256;229;678;2524;3418
20;fille;ɑ;350;263;854;1518;2988
20;fille;ɔ;384;249;746;1309;2957
20;fille;ɛ;212;242;699;2169;3243
20;fille;e;322;250;558;2559;3311
20;fille;ɜ˞;336;259;678;1594;2048
20;fille;ɪ;187;231;489;2544;3720
20;fille;i;325;260;475;2916;3399
20;fille;o;370;257;588;1117;2848
20;fille;ʊ;232;237;627;1703;2883
20;fille;ʌ;296;255;746;1552;3044
20;fille;u;243;256;504;1515;2952
21;fille;æ;346;267;809;2592;3331
21;fille;ɑ;292;277;1119;1588;3010
21;fille;ɔ;313;268;765;1067;3266
21;fille;ɛ;238;270;1057;2426;3441
21;fille;e;336;271;586;2720;3446
21;fille;ɜ˞;332;246;614;1867;2435
21;fille;ɪ;205;276;559;2753;3502
21;fille;i;277;293;366;3207;3722
21;fille;o;314;274;557;1065;3040
21;fille;ʊ;206;277;561;1627;3037
21;fille;ʌ;219;282;863;1566;3134
21;fille;u;251;283;557;1288;3111
22;fille;æ;216;206;545;2690;2959
22;fille;ɑ;238;228;1205;1605;2708
22;fille;ɔ;196;203;770;1010;2411
22;fille;ɛ;165;212;744;2227;2966
22;fille;e;199;212;613;2593;3103
22;fille;ɜ˞;270;248;568;1512;1783
22;fille;ɪ;137;229;447;2645;3302
22;fille;i;205;213;424;3199;3815
22;fille;o;216;212;615;1093;2691
22;fille;ʊ;169;237;493;1248;2751
22;fille;ʌ;158;213;685;1485;2679
22;fille;u;214;221;438;1336;3117
23;fille;æ;284;223;669;2440;2915
23;fille;ɑ;295;220;872;1565;2531
23;fille;ɔ;340;213;839;1240;2636
23;fille;ɛ;215;232;692;2354;3179
23;fille;e;294;219;441;2585;3014
23;fille;ɜ˞;277;227;488;1584;1810
23;fille;ɪ;249;212;479;2492;3187
23;fille;i;309;239;382;2987;3320
23;fille;o;292;223;625;1100;2747
23;fille;ʊ;254;238;512;1260;2826
23;fille;ʌ;223;220;688;1251;2795
23;fille;u;286;219;436;1170;2661
24;fille;æ;451;220;643;2434;3326
24;fille;ɑ;314;210;776;1490;2730
24;fille;ɔ;362;220;635;1163;3053
24;fille;ɛ;331;217;668;2106;3353
24;fille;e;426;233;654;2549;3427
24;fille;ɜ˞;347;224;479;1579;1963
24;fille;ɪ;316;218;481;2567;3550
24;fille;i;342;218;441;3079;3474
24;fille;o;338;215;646;1244;3023
24;fille;ʊ;303;227;546;1254;3333
24;fille;ʌ;292;216;670;1538;3264
24;fille;u;320;235;449;916;3002
25;fille;æ;243;211;634;2410;3303
25;fille;ɑ;270;223;1147;1553;2877
25;fille;ɔ;250;215;792;1268;2988
25;fille;ɛ;192;231;699;2194;3317
25;fille;e;293;239;494;2823;3444
25;fille;ɜ˞;251;211;615;1742;2009
25;fille;ɪ;174;230;551;2362;3354
25;fille;i;241;239;410;2874;3505
25;fille;o;264;225;658;1272;2944
25;fille;ʊ;174;211;622;1417;2993
25;fille;ʌ;172;214;763;1522;2931
25;fille;u;233;254;495;1283;3033
26;fille;æ;284;227;676;2253;3121
26;fille;ɑ;271;221;1065;1483;2723
26;fille;ɔ;267;216;640;929;2654
26;fille;ɛ;210;221;680;2187;3099
26;fille;e;309;239;510;2438;3126
26;fille;ɜ˞;263;220;457;1570;1926
26;fille;ɪ;194;240;490;2449;3330
26;fille;i;268;240;361;2938;3810
26;fille;o;293;224;616;1047;2669
26;fille;ʊ;213;239;492;1200;2622
26;fille;ʌ;212;206;667;1400;3017
26;fille;u;255;216;434;1297;2694
27;fille;æ;291;212;860;2503;3002
27;fille;ɑ;285;227;944;1540;2896
27;fille;ɔ;305;214;941;1409;2729
27;fille;ɛ;212;231;856;2304;2916
27;fille;e;289;236;655;2772;3180
27;fille;ɜ˞;390;250;614;1733;2034
27;fille;ɪ;294;243;503;2433;3150
27;fille;i;269;255;366;3024;3867
27;fille;o;267;241;578;1122;2833
27;fille;ʊ;221;233;684;1623;3019
27;fille;ʌ;243;234;778;1422;3266
27;fille;u;302;249;498;1509;2866
28;garçon;æ;295;242;741;2433;3341
28;garçon;ɑ;276;238;894;1420;2828
28;garçon;ɔ;349;240;867;1292;3296
28;garçon;ɛ;202;227;653;2241;3167
28;garçon;e;320;243;496;2670;3256
28;garçon;ɜ˞;297;228;556;1687;2002
28;garçon;ɪ;233;240;495;2574;3362
28;garçon;i;314;222;389;3068;3544
28;garçon;o;263;251;571;1243;2854
28;garçon;ʊ;224;243;499;1440;2980
28;garçon;ʌ;200;247;740;1502;3001
28;garçon;u;327;251;500;1724;2988
29;garçon;æ;283;196;729;2878;3792
29;garçon;ɑ;298;208;1312;1820;3308
29;garçon;ɔ;249;217;875;1501;3294
29;garçon;ɛ;218;188;928;2254;3612
29;garçon;e;286;211;648;2788;3723
29;garçon;ɜ˞;258;223;620;1750;2165
29;garçon;ɪ;197;258;557;2634;3691
29;garçon;i;248;246;498;3451;4100
29;garçon;o;295;230;683;1038;3200
29;garçon;ʊ;206;228;639;1518;3253
29;garçon;ʌ;215;220;882;1623;3434
29;garçon;u;236;188;435;1059;3389
30;garçon;æ;385;255;932;2523;3644
30;garçon;ɑ;324;246;1007;1742;2982
30;garçon;ɔ;430;244;885;1415;3196
30;garçon;ɛ;277;245;802;2427;3488
30;garçon;e;350;266;561;2663;3550
30;garçon;ɜ˞;359;285;564;2003;2349
30;garçon;ɪ;313;271;558;2427;3502
30;garçon;i;324;294;463;3225;3699
30;garçon;o;380;282;583;1352;3140
30;garçon;ʊ;367;271;564;1613;3065
30;garçon;ʌ;275;268;784;1614;3392
30;garçon;u;300;288;556;1736;3005
31;garçon;æ;456;227;682;2638;3510
31;garçon;ɑ;375;204;978;1817;2843
31;garçon;ɔ;368;210;882;1309;2834
31;garçon;ɛ;328;226;809;2265;3309
31;garçon;e;321;220;638;2553;3348
31;garçon;ɜ˞;348;223;601;1791;2612
31;garçon;ɪ;323;219;441;2728;3285
31;garçon;i;305;239;475;3320;3761
31;garçon;o;380;239;678;1306;3202
31;garçon;ʊ;375;225;504;1440;3000
31;garçon;ʌ;290;225;897;1494;2960
31;garçon;u;378;219;437;1733;3208
32;garçon;æ;292;222;799;2397;3125
32;garçon;ɑ;275;225;1026;1544;2536
32;garçon;ɔ;300;224;888;1266;2632
32;garçon;ɛ;174;222;660;2223;3354
32;garçon;e;261;225;542;2755;3283
32;garçon;ɜ˞;299;224;632;1689;2154
32;garçon;ɪ;150;236;488;2623;3549
32;garçon;i;230;250;478;2997;3755
32;garçon;o;268;226;483;903;2954
32;garçon;ʊ;234;254;545;1307;3032
32;garçon;ʌ;218;238;754;1430;3034
32;garçon;u;246;256;480;1011;2574
33;garçon;æ;341;242;722;2418;3017
33;garçon;ɑ;384;227;843;1803;2562
33;garçon;ɔ;342;233;697;1358;2263
33;garçon;ɛ;284;230;649;2268;2827
33;garçon;e;421;242;544;2444;2605
33;garçon;ɜ˞;365;237;585;1694;2278
33;garçon;ɪ;311;252;506;2432;3262
33;garçon;i;386;250;457;2776;4268
33;garçon;o;442;241;492;927;2671
33;garçon;ʊ;186;249;507;1720;2978
33;garçon;ʌ;286;234;620;1579;2861
33;garçon;u;367;255;503;821;2874
34;garçon;æ;384;266;695;2704;3731
34;garçon;ɑ;407;249;993;2000;3174
34;garçon;ɔ;377;270;787;1234;2924
34;garçon;ɛ;294;244;741;2418;3665
34;garçon;e;438;257;513;2881;3667
34;garçon;ɜ˞;346;260;540;1571;2167
34;garçon;ɪ;378;261;517;2619;3499
34;garçon;i;390;263;507;3319;3823
34;garçon;o;309;259;536;789;2863
34;garçon;ʊ;292;271;585;1636;2941
34;garçon;ʌ;303;242;695;1832;3000
34;garçon;u;315;271;540;1653;2799
35;garçon;æ;382;265;758;2373;3327
35;garçon;ɑ;321;245;1197;1734;3187
35;garçon;ɔ;425;301;932;1445;3107
35;garçon;ɛ;292;238;763;2393;3241
35;garçon;e;364;258;536;2859;3507
35;garçon;ɜ˞;413;286;573;1748;2245
35;garçon;ɪ;308;264;515;2828;3627
35;garçon;i;399;294;503;3256;4056
35;garçon;o;423;275;561;1151;2996
35;garçon;ʊ;284;294;595;1737;3235
35;garçon;ʌ;248;262;756;1579;3388
35;garçon;u;307;303;568;1508;2987
36;garçon;æ;311;237;946;2540;3229
36;garçon;ɑ;282;218;855;1845;3055
36;garçon;ɔ;285;226;893;1563;3131
36;garçon;ɛ;278;227;816;2404;3448
36;garçon;e;310;236;740;2651;3049
36;garçon;ɜ˞;320;212;631;1722;2140
36;garçon;ɪ;241;257;518;2870;3681
36;garçon;i;292;222;456;3389;4027
36;garçon;o;338;238;630;1491;3010
36;garçon;ʊ;268;229;667;1446;3220
36;garçon;ʌ;222;229;880;1680;3280
36;garçon;u;318;216;460;1422;3099
37;garçon;æ;353;230;648;2334;2834
37;garçon;ɑ;298;240;1047;1488;2879
37;garçon;ɔ;380;232;898;1359;2850
37;garçon;ɛ;227;226;793;2228;3560
37;garçon;e;315;240;494;2676;3280
37;garçon;ɜ˞;296;233;671;1556;2302
37;garçon;ɪ;250;226;499;2437;3758
37;garçon;i;282;238;465;2875;3699
37;garçon;o;363;232;455;923;3258
37;garçon;ʊ;310;219;627;1515;3034
37;garçon;ʌ;227;226;701;1563;3058
37;garçon;u;324;238;460;1291;3010
38;garçon;æ;322;240;730;2668;3564
38;garçon;ɑ;317;200;1154;1932;3044
38;garçon;ɔ;323;241;952;1665;3063
38;garçon;ɛ;250;236;762;2349;3484
38;garçon;e;293;262;594;2733;3413
38;garçon;ɜ˞;270;253;627;1780;2415
38;garçon;ɪ;240;242;533;2762;3466
38;garçon;i;304;212;436;3340;3862
38;garçon;o;237;225;637;1142;3360
38;garçon;ʊ;214;259;571;1819;3274
38;garçon;ʌ;226;248;796;1669;3254
38;garçon;u;273;276;540;1998;3104
39;garçon;æ;301;251;752;2501;3450
39;garçon;ɑ;334;241;931;1749;3205
39;garçon;ɔ;339;234;823;1356;3419
39;garçon;ɛ;250;263;759;2488;3502
39;garçon;e;345;258;550;2780;3468
39;garçon;ɜ˞;288;273;561;1692;2358
39;garçon;ɪ;273;257;508;2642;3494
39;garçon;i;396;278;464;3104;3692
39;garçon;o;351;251;502;960;3274
39;garçon;ʊ;269;279;563;1577;3159
39;garçon;ʌ;232;229;738;1626;3315
39;garçon;u;286;273;527;1407;3253
40;garçon;æ;306;194;717;2313;3150
40;garçon;ɑ;308;189;954;1472;2844
40;garçon;ɔ;332;214;854;1109;2960
40;garçon;ɛ;297;211;621;2275;3146
40;garçon;e;351;222;564;2455;3100
40;garçon;ɜ˞;312;215;603;1663;1983
40;garçon;ɪ;311;216;435;2623;3084
40;garçon;i;320;220;432;2688;3161
40;garçon;o;330;240;499;992;3121
40;garçon;ʊ;314;245;498;1491;2924
40;garçon;ʌ;259;208;633;1454;2986
40;garçon;u;304;239;486;968;2756
41;garçon;æ;354;226;888;2605;3651
41;garçon;ɑ;299;233;1316;1752;3113
41;garçon;ɔ;360;239;894;1366;3371
41;garçon;ɛ;266;226;880;2638;3567
41;garçon;e;386;237;497;2804;3315
41;garçon;ɜ˞;331;248;707;1706;2245
41;garçon;ɪ;337;244;497;2684;3546
41;garçon;i;357;251;477;3266;3889
41;garçon;o;382;243;577;1217;3225
41;garçon;ʊ;298;233;597;1599;3270
41;garçon;ʌ;302;247;684;1732;3241
41;garçon;u;368;244;496;1739;2873
42;garçon;æ;308;208;727;2394;3320
42;garçon;ɑ;304;248;911;1624;3230
42;garçon;ɔ;291;233;757;1242;3288
42;garçon;ɛ;204;249;755;2137;3384
42;garçon;e;280;258;575;2502;3445
42;garçon;ɜ˞;269;225;667;1688;2246
42;garçon;ɪ;212;243;504;2408;3422
42;garçon;i;266;273;466;3004;3634
42;garçon;o;262;267;785;1551;3138
42;garçon;ʊ;188;236;643;1860;3306
42;garçon;ʌ;215;256;782;1622;3171
42;garçon;u;245;236;490;2179;3131
43;garçon;æ;317;219;591;2632;3497
43;garçon;ɑ;416;214;1033;1929;3428
43;garçon;ɔ;441;215;1062;1475;3233
43;garçon;ɛ;258;205;533;2480;3378
43;garçon;e;325;209;570;3256;3584
43;garçon;ɜ˞;287;219;611;2033;2522
43;garçon;ɪ;267;212;557;2664;3468
43;garçon;i;343;222;436;3443;3843
43;garçon;o;300;221;568;1096;2991
43;garçon;ʊ;211;217;556;1558;3490
43;garçon;ʌ;226;207;744;1854;3360
43;garçon;u;315;214;435;1829;3316
44;garçon;æ;238;248;747;2703;3829
44;garçon;ɑ;220;235;1129;2005;2826
44;garçon;ɔ;218;221;1090;1465;2981
44;garçon;ɛ;222;229;868;2318;3567
44;garçon;e;223;234;618;2752;4040
44;garçon;ɜ˞;197;236;670;1899;2323
44;garçon;ɪ;168;236;550;2625;3774
44;garçon;i;193;237;479;3093;3755
44;garçon;o;222;234;688;1197;3184
44;garçon;ʊ;155;237;682;1571;3394
44;garçon;ʌ;184;227;885;1629;3430
44;garçon;u;192;243;497;1334;3067
45;garçon;æ;290;227;672;2484;3492
45;garçon;ɑ;259;234;1145;1655;3062
45;garçon;ɔ;274;246;998;1368;3282
45;garçon;ɛ;228;228;882;2524;3555
45;garçon;e;294;249;540;2687;3504
45;garçon;ɜ˞;286;230;627;1628;2058
45;garçon;ɪ;220;234;489;2730;3763
45;garçon;i;243;232;469;3278;4165
45;garçon;o;317;213;622;1223;3380
45;garçon;ʊ;241;239;512;1644;3483
45;garçon;ʌ;210;248;1045;1609;3456
45;garçon;u;248;248;498;1740;3291
46;garçon;æ;250;227;555;2569;3424
46;garçon;ɑ;186;215;1021;1720;3186
46;garçon;ɔ;259;218;1001;1488;3149
46;garçon;ɛ;227;230;733;2421;3250
46;garçon;e;259;235;558;2533;3224
46;garçon;ɜ˞;262;225;620;1689;2361
46;garçon;ɪ;170;226;444;2846;3518
46;garçon;i;258;238;472;3120;3574
46;garçon;o;246;222;643;1262;3194
46;garçon;ʊ;179;243;575;1580;3509
46;garçon;ʌ;177;229;646;1578;3366
46;garçon;u;227;225;446;1533;3269
47;homme;æ;323;174;663;2012;2659
47;homme;ɑ;316;159;813;1283;2687
47;homme;ɔ;330;177;699;996;2548
47;homme;ɛ;266;171;609;1980;2678
47;homme;e;319;166;494;2113;2700
47;homme;ɜ˞;324;175;506;1418;1849
47;homme;ɪ;268;179;370;2161;2757
47;homme;i;339;172;328;2418;2939
47;homme;o;369;169;509;989;2561
47;homme;ʊ;255;169;450;995;2519
47;homme;ʌ;292;171;670;1178;2566
47;homme;u;281;184;374;931;2433
48;homme;æ;250;102;628;1871;2477
48;homme;ɑ;249;101;749;1060;2842
48;homme;ɔ;289;106;644;856;2627
48;homme;ɛ;167;103;517;1917;2438
48;homme;e;261;105;438;2196;2480
48;homme;ɜ˞;296;111;457;1406;1685
48;homme;ɪ;183;111;384;2039;2523
48;homme;i;236;108;305;2320;3072
48;homme;o;261;105;519;891;2532
48;homme;ʊ;174;112;424;992;2249
48;homme;ʌ;173;105;642;998;2682
48;homme;u;257;114;319;938;2091
49;homme;æ;344;99;605;1812;2570
49;homme;ɑ;373;97;755;1133;2695
49;homme;ɔ;355;93;647;926;2785
49;homme;ɛ;284;95;559;1695;2413
49;homme;e;353;91;438;2026;2476
49;homme;ɜ˞;368;94;479;1252;1621
49;homme;ɪ;262;101;411;1932;2569
49;homme;i;315;96;331;2311;2865
49;homme;o;417;96;496;863;2548
49;homme;ʊ;275;96;489;1059;2567
49;homme;ʌ;297;96;622;1075;2622
49;homme;u;420;101;360;953;2505
50;homme;æ;312;124;627;1910;2488
50;homme;ɑ;302;127;832;1222;2624
50;homme;ɔ;347;131;694;970;2746
50;homme;ɛ;229;127;698;1580;2492
50;homme;e;253;134;493;2102;2839
50;homme;ɜ˞;332;134;460;1473;1764
50;homme;ɪ;227;135;441;2045;2694
50;homme;i;240;134;353;2385;3400
50;homme;o;300;146;441;862;2455
50;homme;ʊ;210;134;522;1123;2538
50;homme;ʌ;211;131;650;1036;2697
50;homme;u;288;144;422;1299;2347
51;homme;æ;254;115;647;1864;2561
51;homme;ɑ;230;112;871;1204;2595
51;homme;ɔ;250;115;740;999;2691
51;homme;ɛ;177;115;555;1851;2624
51;homme;e;241;120;497;2024;2677
51;homme;ɜ˞;217;117;489;1338;1747
51;homme;ɪ;159;115;441;2080;2721
51;homme;i;241;122;367;2390;2777
51;homme;o;263;114;524;1000;2432
51;homme;ʊ;147;117;468;1115;2492
51;homme;ʌ;169;117;629;1146;2643
51;homme;u;231;120;366;919;2378
52;homme;æ;254;96;582;1999;2567
52;homme;ɑ;265;98;786;1341;2403
52;homme;ɔ;292;96;642;949;2437
52;homme;ɛ;197;104;571;1926;2615
52;homme;e;281;100;555;2174;2900
52;homme;ɜ˞;272;96;493;1270;1633
52;homme;ɪ;190;108;363;2269;2935
52;homme;i;259;101;346;2379;3217
52;homme;o;266;94;515;1126;2455
52;homme;ʊ;197;92;442;1176;2435
52;homme;ʌ;185;90;651;1176;2564
52;homme;u;231;113;326;997;2384
53;homme;æ;289;122;602;1880;2539
53;homme;ɑ;302;115;748;1293;2446
53;homme;ɔ;294;120;651;1033;2477
53;homme;ɛ;239;126;582;1768;2463
53;homme;e;328;133;529;1974;2638
53;homme;ɜ˞;282;131;501;1334;1611
53;homme;ɪ;235;131;390;1948;2566
53;homme;i;298;164;312;2402;2849
53;homme;o;285;125;500;868;2552
53;homme;ʊ;241;132;486;1116;2563
53;homme;ʌ;242;132;626;1159;2643
53;homme;u;239;126;382;1058;2334
54;homme;æ;339;120;545;1872;2630
54;homme;ɑ;330;122;738;1394;2522
54;homme;ɔ;342;123;620;1068;2634
54;homme;ɛ;239;120;560;1697;2663
54;homme;e;318;122;446;1918;2674
54;homme;ɜ˞;342;137;466;1377;1616
54;homme;ɪ;221;132;385;1843;2696
54;homme;i;341;129;355;2049;2921
54;homme;o;340;134;503;950;2680
54;homme;ʊ;238;125;442;1205;2580
54;homme;ʌ;203;121;602;1336;2690
54;homme;u;296;136;384;1234;2418
55;homme;æ;282;153;552;2027;2737
55;homme;ɑ;271;152;763;1147;2840
55;homme;ɔ;296;151;637;923;2722
55;homme;ɛ;186;154;594;1716;2678
55;homme;e;273;151;439;2067;2708
