id;groupe;genre;ipa;f0;f1;f2;f3
5;homme;masculin;æ;143;830;1720;2180
5;homme;masculin;æ;135;750;1690;2320
5;homme;masculin;ʌ;136;630;1300;1950
5;homme;masculin;ʌ;130;650;1170;2000
5;homme;masculin;ɑ;131;760;1220;2140
5;homme;masculin;ɑ;126;720;1260;2020
5;homme;masculin;ɔ;136;540;970;1980
5;homme;masculin;ɔ;124;550;880;1950
5;homme;masculin;ʊ;133;470;1040;1990
5;homme;masculin;ʊ;132;490;990;1920
5;homme;masculin;u;141;380;950;2140
5;homme;masculin;u;133;330;800;2130
5;homme;masculin;ɜ˞;143;560;1510;1800
5;homme;masculin;ɜ˞;136;510;1460;1700
6;homme;masculin;i;125;312;2350;2800
6;homme;masculin;i;119;330;2430;2870
6;homme;masculin;ɪ;133;420;2000;2660
6;homme;masculin;ɪ;125;313;2000;2750
6;homme;masculin;ɛ;120;600;1860;2500
6;homme;masculin;ɛ;114;570;1830;2570
6;homme;masculin;æ;119;676;1670;2540
6;homme;masculin;æ;125;725;1687;2500
6;homme;masculin;ʌ;118;680;1150;2560
6;homme;masculin;ʌ;125;726;1270;2560
6;homme;masculin;ɑ;125;740;1100;2680
6;homme;masculin;ɑ;113;670;960;2650
6;homme;masculin;ɔ;120;660;1030;2690
6;homme;masculin;ɔ;125;720;960;2700
6;homme;masculin;ʊ;120;456;1080;2520
6;homme;masculin;ʊ;120;450;1140;2600
6;homme;masculin;u;125;313;838;2340
6;homme;masculin;u;125;288;938;2450
6;homme;masculin;ɜ˞;120;503;1305;1775
6;homme;masculin;ɜ˞;120;505;1320;1750
7;homme;masculin;i;186;320;2320;3120
7;homme;masculin;i;172;310;2280;3020
7;homme;masculin;ɪ;167;470;2000;2660
7;homme;masculin;ɪ;170;410;2040;2715
7;homme;masculin;ɛ;167;630;1900;2860
7;homme;masculin;ɛ;146;614;1840;2770
7;homme;masculin;æ;143;740;1800;2450
7;homme;masculin;æ;162;775;1810;2200
7;homme;masculin;ʌ;167;620;1240;2410
7;homme;masculin;ʌ;160;640;1250;2400
7;homme;masculin;ɑ;162;650;970;2580
7;homme;masculin;ɑ;163;650;980;2350
7;homme;masculin;ɔ;145;430;720;2450
7;homme;masculin;ɔ;171;510;800;2500
7;homme;masculin;ʊ;170;460;1120;2150
7;homme;masculin;ʊ;170;493;1120;2300
7;homme;masculin;u;175;380;1040;2260
7;homme;masculin;u;200;400;1000;2350
7;homme;masculin;ɜ˞;167;570;1300;1750
7;homme;masculin;ɜ˞;157;565;1370;1710
8;homme;masculin;i;105;230;2480;3200
8;homme;masculin;i;109;218;2380;3100
8;homme;masculin;ɪ;110;320;2200;2680
8;homme;masculin;ɪ;103;206;2130;2570
8;homme;masculin;ɛ;107;430;2100;2630
8;homme;masculin;ɛ;105;515;1760;2470
8;homme;masculin;æ;107;514;2060;2600
8;homme;masculin;æ;106;552;1820;2500
8;homme;masculin;ʌ;108;640;1300;2300
8;homme;masculin;ʌ;104;624;1350;2410
8;homme;masculin;ɑ;111;714;1170;2420
8;homme;masculin;ɑ;97;650;1150;2350
8;homme;masculin;ɔ;107;590;965;2500
8;homme;masculin;ɔ;109;578;970;2460
8;homme;masculin;ʊ;111;467;1110;2400
8;homme;masculin;ʊ;105;475;1220;2310
8;homme;masculin;u;107;270;910;2200
8;homme;masculin;u;108;260;975;2320
8;homme;masculin;ɜ˞;107;460;1400;1790
8;homme;masculin;ɜ˞;103;425;1410;1760
9;homme;masculin;i;175;316;2200;2800
9;homme;masculin;i;175;280;2275;2775
9;homme;masculin;ɪ;167;450;1820;2475
9;homme;masculin;ɪ;167;434;1850;2425
9;homme;masculin;ɛ;157;582;1725;2375
9;homme;masculin;ɛ;158;586;1800;2425
9;homme;masculin;æ;150;600;1750;2375
9;homme;masculin;æ;145;582;1775;2375
9;homme;masculin;ʌ;145;626;1125;2200
9;homme;masculin;ʌ;160;641;1120;2225
9;homme;masculin;ɑ;144;708;1054;2420
9;homme;masculin;ɑ;150;705;1050;2375
9;homme;masculin;ɔ;146;614;848;2200
9;homme;masculin;ɔ;143;600;860;2175
9;homme;masculin;ʊ;167;500;1000;2325
9;homme;masculin;ʊ;167;500;1000;2325
9;homme;masculin;u;167;334;1150;2200
9;homme;masculin;u;183;312;1020;2300
9;homme;masculin;ɜ˞;157;518;1305;1570
9;homme;masculin;ɜ˞;157;504;1210;1510
10;homme;masculin;i;129;260;2260;2820
10;homme;masculin;i;125;250;2200;2825
10;homme;masculin;ɪ;146;400;2040;2500
10;homme;masculin;ɪ;144;389;2000;2425
10;homme;masculin;ɛ;126;500;1870;2500
10;homme;masculin;ɛ;125;500;1775;2450
10;homme;masculin;æ;110;660;1650;2500
10;homme;masculin;æ;120;624;1700;2475
10;homme;masculin;ʌ;122;650;1220;2550
10;homme;masculin;ʌ;120;672;1260;2500
10;homme;masculin;ɑ;114;750;1080;2680
10;homme;masculin;ɑ;114;777;1026;2625
10;homme;masculin;ɔ;115;580;800;2650
10;homme;masculin;ɔ;117;585;819;2625
10;homme;masculin;ʊ;140;480;950;2500
10;homme;masculin;ʊ;127;461;993;2350
10;homme;masculin;u;140;280;950;2300
10;homme;masculin;u;133;266;920;2300
10;homme;masculin;ɜ˞;128;500;1340;1700
10;homme;masculin;ɜ˞;133;532;1275;1600
11;homme;masculin;i;146;248;2225;3100
11;homme;masculin;i;140;238;2175;3075
11;homme;masculin;ɪ;150;405;1925;2550
11;homme;masculin;ɪ;138;416;1940;2600
11;homme;masculin;ɛ;147;588;1790;2500
11;homme;masculin;ɛ;133;586;1725;2650
11;homme;masculin;æ;145;725;1700;2425
11;homme;masculin;æ;127;710;1650;2220
11;homme;masculin;ʌ;136;586;1078;2300
11;homme;masculin;ʌ;136;627;1038;2360
11;homme;masculin;ɑ;145;725;1046;2325
11;homme;masculin;ɑ;131;746;1018;2300
11;homme;masculin;ɔ;140;560;840;2500
11;homme;masculin;ɔ;140;560;924;2350
11;homme;masculin;ʊ;150;495;1080;2275
11;homme;masculin;ʊ;143;430;1030;2275
11;homme;masculin;u;162;290;760;2300
11;homme;masculin;u;157;315;850;2025
11;homme;masculin;ɜ˞;150;511;1561;1876
11;homme;masculin;ɜ˞;138;530;1450;1887
12;homme;masculin;i;110;220;2410;3000
12;homme;masculin;i;125;240;2440;3280
12;homme;masculin;ɪ;120;450;1880;2450
12;homme;masculin;ɪ;118;380;1930;2420
12;homme;masculin;ɛ;115;560;1650;2300
12;homme;masculin;ɛ;123;560;1720;2300
12;homme;masculin;æ;110;680;1720;2330
12;homme;masculin;æ;133;630;1680;2280
12;homme;masculin;ʌ;110;560;1430;2250
12;homme;masculin;ʌ;120;560;1390;2240
12;homme;masculin;ɑ;108;800;1330;2260
12;homme;masculin;ɑ;110;740;1240;2280
12;homme;masculin;ɔ;120;600;920;2080
12;homme;masculin;ɔ;133;580;910;2000
12;homme;masculin;ʊ;130;400;1200;2210
12;homme;masculin;ʊ;110;420;1230;2230
12;homme;masculin;u;122;300;900;2130
12;homme;masculin;u;123;260;1010;2240
12;homme;masculin;ɜ˞;125;400;1450;1650
12;homme;masculin;ɜ˞;128;360;1410;1640
13;homme;masculin;i;142;290;2290;2600
13;homme;masculin;i;135;260;2290;2700
13;homme;masculin;ɪ;132;390;1950;2550
13;homme;masculin;ɪ;135;400;1900;2450
13;homme;masculin;ɛ;124;490;1740;2500
13;homme;masculin;ɛ;125;500;1780;2430
13;homme;masculin;æ;125;660;1630;2500
13;homme;masculin;æ;132;670;1630;2380
13;homme;masculin;ʌ;140;600;1220;2530
13;homme;masculin;ʌ;125;600;1210;2430
13;homme;masculin;ɑ;125;680;1120;2630
13;homme;masculin;ɑ;128;670;1100;2700
13;homme;masculin;ɔ;127;510;720;2450
13;homme;masculin;ɔ;120;480;710;2540
13;homme;masculin;ʊ;133;380;910;2350
13;homme;masculin;ʊ;140;440;1030;2400
13;homme;masculin;u;127;350;720;2750
13;homme;masculin;u;140;380;740;2880
13;homme;masculin;ɜ˞;128;430;1370;1610
13;homme;masculin;ɜ˞;135;440;1360;1600
14;homme;masculin;i;114;228;2350;2860
14;homme;masculin;i;118;220;2350;2920
14;homme;masculin;ɪ;110;407;2070;2500
14;homme;masculin;ɪ;112;420;1900;2450
14;homme;masculin;ɛ;106;445;2020;2420
14;homme;masculin;ɛ;115;470;2020;2500
14;homme;masculin;æ;103;721;1680;2400
14;homme;masculin;æ;109;750;1710;2440
14;homme;masculin;ʌ;104;552;1122;2500
14;homme;masculin;ʌ;115;580;1150;2600
14;homme;masculin;ɑ;98;686;1078;2570
14;homme;masculin;ɑ;103;700;1050;2680
14;homme;masculin;ɔ;102;560;665;2620
14;homme;masculin;ɔ;106;550;650;2700
14;homme;masculin;ʊ;112;448;980;2370
14;homme;masculin;ʊ;104;410;940;2370
14;homme;masculin;u;116;232;696;2200
14;homme;masculin;u;117;222;665;2080
14;homme;masculin;ɜ˞;120;432;1300;1400
14;homme;masculin;ɜ˞;111;420;1300;1570
15;homme;masculin;i;121;230;2100;2850
15;homme;masculin;i;118;240;2000;2980
15;homme;masculin;ɪ;130;365;1900;2340
15;homme;masculin;ɪ;119;300;2040;2560
15;homme;masculin;ɛ;112;440;1980;2310
15;homme;masculin;ɛ;120;410;2050;2500
15;homme;masculin;æ;133;620;1710;2110
15;homme;masculin;æ;124;660;1800;2150
15;homme;masculin;ʌ;120;660;1000;2380
15;homme;masculin;ʌ;110;660;960;2450
15;homme;masculin;ɑ;122;600;830;2250
15;homme;masculin;ɑ;119;620;820;2400
15;homme;masculin;ɔ;117;500;620;2250
15;homme;masculin;ɔ;106;550;700;2550
15;homme;masculin;ʊ;140;390;730;2180
15;homme;masculin;ʊ;130;360;740;2200
15;homme;masculin;u;131;260;720;2100
15;homme;masculin;u;132;260;740;2040
15;homme;masculin;ɜ˞;125;450;1230;1600
15;homme;masculin;ɜ˞;127;460;1300;1650
16;homme;masculin;i;150;300;2355;3250
16;homme;masculin;i;150;300;2460;3280
16;homme;masculin;ɪ;160;385;2242;2805
16;homme;masculin;ɪ;150;407;2250;2780
16;homme;masculin;ɛ;140;504;2090;2720
16;homme;masculin;ɛ;146;543;1980;2640
16;homme;masculin;æ;133;680;1958;2542
16;homme;masculin;æ;141;708;1840;2535
16;homme;masculin;ʌ;150;675;1320;2550
16;homme;masculin;ʌ;150;704;1393;2550
16;homme;masculin;ɑ;137;825;1168;2750
16;homme;masculin;ɑ;135;840;1210;2680
16;homme;masculin;ɔ;143;671;1000;2670
16;homme;masculin;ɔ;147;690;968;2660
16;homme;masculin;ʊ;143;443;1273;2430
16;homme;masculin;ʊ;153;459;1286;2410
16;homme;masculin;u;146;395;1300;2160
16;homme;masculin;u;153;400;1320;2150
16;homme;masculin;ɜ˞;140;532;1500;1890
16;homme;masculin;ɜ˞;146;538;1460;1818
17;homme;masculin;i;120;264;2290;2700
17;homme;masculin;i;128;256;2305;2635
17;homme;masculin;ɪ;112;380;1880;2440
17;homme;masculin;ɪ;115;346;1930;2390
17;homme;masculin;ɛ;100;510;1780;2300
17;homme;masculin;ɛ;108;520;1730;2275
17;homme;masculin;æ;100;630;1770;2350
17;homme;masculin;æ;105;630;1642;2170
17;homme;masculin;ʌ;103;601;1273;2130
17;homme;masculin;ʌ;105;590;1283;2150
17;homme;masculin;ɑ;100;750;1150;2440
17;homme;masculin;ɑ;95;703;1092;2320
17;homme;masculin;ɔ;97;565;780;2350
17;homme;masculin;ɔ;106;584;849;2460
17;homme;masculin;ʊ;105;420;1100;2140
17;homme;masculin;ʊ;111;422;1200;2175
17;homme;masculin;u;117;315;1080;2260
17;homme;masculin;u;125;326;1125;2210
17;homme;masculin;ɜ˞;111;444;1300;1625
17;homme;masculin;ɜ˞;109;469;1288;1600
18;homme;masculin;i;124;210;2100;3090
18;homme;masculin;i;130;220;2080;3180
18;homme;masculin;ɪ;128;280;2000;2710
18;homme;masculin;ɪ;130;310;1950;2670
18;homme;masculin;ɛ;121;470;1910;2580
18;homme;masculin;ɛ;129;490;1930;2650
18;homme;masculin;æ;116;640;1620;2200
18;homme;masculin;æ;118;650;1580;2360
18;homme;masculin;ʌ;121;610;1100;2230
18;homme;masculin;ʌ;126;620;1120;2330
18;homme;masculin;ɑ;118;700;1100;2240
18;homme;masculin;ɑ;120;670;1100;2220
18;homme;masculin;ɔ;122;460;720;2180
18;homme;masculin;ɔ;118;470;690;2200
18;homme;masculin;ʊ;129;320;770;1860
18;homme;masculin;ʊ;130;310;790;1920
18;homme;masculin;u;140;210;670;1900
18;homme;masculin;u;148;240;730;1850
18;homme;masculin;ɜ˞;128;390;1320;1550
18;homme;masculin;ɜ˞;124;420;1240;1510
19;homme;masculin;i;129;190;2650;3280
19;homme;masculin;i;135;190;2700;3170
19;homme;masculin;ɪ;132;370;1750;2700
19;homme;masculin;ɪ;130;370;1800;2750
19;homme;masculin;ɛ;122;370;1680;2560
19;homme;masculin;ɛ;125;375;1700;2500
19;homme;masculin;æ;121;550;1570;2600
19;homme;masculin;æ;120;530;1610;2650
19;homme;masculin;ʌ;118;570;1050;2500
19;homme;masculin;ʌ;125;590;1100;2480
19;homme;masculin;ɑ;112;640;970;2870
19;homme;masculin;ɑ;122;670;980;2900
19;homme;masculin;ɔ;113;560;860;2900
19;homme;masculin;ɔ;121;570;820;2820
19;homme;masculin;ʊ;125;350;1000;2500
19;homme;masculin;ʊ;130;380;920;2370
19;homme;masculin;u;130;250;1000;2100
19;homme;masculin;u;140;210;960;1940
19;homme;masculin;ɜ˞;130;360;1300;1920
19;homme;masculin;ɜ˞;133;370;1300;1760
20;homme;masculin;i;127;250;2180;2660
20;homme;masculin;i;131;260;2210;2780
20;homme;masculin;ɪ;121;400;1900;2440
20;homme;masculin;ɪ;122;350;1980;2480
20;homme;masculin;ɛ;116;560;1670;2310
20;homme;masculin;ɛ;124;530;1700;2380
20;homme;masculin;æ;120;680;1470;2280
20;homme;masculin;æ;119;620;1580;2320
20;homme;masculin;ʌ;120;620;1100;2390
20;homme;masculin;ʌ;125;640;1110;2370
20;homme;masculin;ɑ;115;630;980;2330
20;homme;masculin;ɑ;121;670;940;2380
20;homme;masculin;ɔ;112;560;790;2480
20;homme;masculin;ɔ;120;610;840;2420
20;homme;masculin;ʊ;121;360;860;2200
20;homme;masculin;ʊ;120;400;840;2200
20;homme;masculin;u;140;280;670;2140
20;homme;masculin;u;126;250;720;2190
20;homme;masculin;ɜ˞;120;480;1410;1760
20;homme;masculin;ɜ˞;121;470;1330;1700
21;homme;masculin;i;155;280;2400;2910
21;homme;masculin;i;150;300;2320;2960
21;homme;masculin;ɪ;142;410;2060;2680
21;homme;masculin;ɪ;150;450;2050;2670
21;homme;masculin;ɛ;135;540;1900;2530
21;homme;masculin;ɛ;135;540;1920;2520
21;homme;masculin;æ;138;620;1800;2440
21;homme;masculin;æ;140;690;1820;2480
21;homme;masculin;ʌ;150;630;1200;2600
21;homme;masculin;ʌ;140;680;1290;2600
21;homme;masculin;ɑ;145;740;1110;2500
21;homme;masculin;ɑ;143;700;1060;2720
21;homme;masculin;ɔ;146;600;970;2570
21;homme;masculin;ɔ;138;650;880;2660
21;homme;masculin;ʊ;142;430;1130;2440
21;homme;masculin;ʊ;143;430;1150;2420
21;homme;masculin;u;142;280;990;2330
21;homme;masculin;u;145;290;1000;2300
21;homme;masculin;ɜ˞;150;420;1350;1600
21;homme;masculin;ɜ˞;150;450;1350;1600
22;homme;masculin;i;135;300;2300;2800
22;homme;masculin;i;135;350;2240;2760
22;homme;masculin;ɪ;136;410;2200;2680
22;homme;masculin;ɪ;138;440;2080;2520
22;homme;masculin;ɛ;133;580;1870;2320
22;homme;masculin;ɛ;127;520;1900;2400
22;homme;masculin;æ;130;760;1920;2480
22;homme;masculin;æ;132;670;1850;2560
22;homme;masculin;ʌ;139;810;1110;2100
22;homme;masculin;ʌ;131;770;1150;2100
22;homme;masculin;ɑ;141;700;1040;2120
22;homme;masculin;ɑ;125;750;1160;2080
22;homme;masculin;ɔ;133;670;920;2240
22;homme;masculin;ɔ;142;570;850;2250
22;homme;masculin;ʊ;140;550;970;2200
22;homme;masculin;ʊ;141;490;870;2240
22;homme;masculin;u;150;300;600;2300
22;homme;masculin;u;148;230;570;2100
22;homme;masculin;ɜ˞;140;560;1520;2100
22;homme;masculin;ɜ˞;140;540;1570;2050
23;homme;masculin;i;125;240;2100;2900
23;homme;masculin;i;119;240;2150;2860
23;homme;masculin;ɪ;130;380;1870;2450
23;homme;masculin;ɪ;120;430;1710;2350
23;homme;masculin;ɛ;119;580;1770;2500
23;homme;masculin;ɛ;117;570;1750;2400
23;homme;masculin;æ;115;760;1580;2440
23;homme;masculin;æ;110;715;1500;2300
23;homme;masculin;ʌ;124;620;880;2500
23;homme;masculin;ʌ;124;650;1000;2520
23;homme;masculin;ɑ;119;710;950;2520
23;homme;masculin;ɑ;120;690;960;2520
23;homme;masculin;ɔ;125;460;610;2500
23;homme;masculin;ɔ;120;470;710;2500
23;homme;masculin;ʊ;125;390;900;2100
23;homme;masculin;ʊ;125;460;920;2140
23;homme;masculin;u;125;250;690;2080
23;homme;masculin;u;130;270;650;2050
23;homme;masculin;ɜ˞;122;540;1280;1720
23;homme;masculin;ɜ˞;118;510;1280;1650
24;homme;masculin;i;148;280;2450;2700
24;homme;masculin;i;160;288;2500;2880
24;homme;masculin;ɪ;160;400;2080;2530
24;homme;masculin;ɪ;153;384;2110;2500
24;homme;masculin;ɛ;138;590;1900;2200
24;homme;masculin;ɛ;153;583;1840;2250
24;homme;masculin;æ;145;680;1850;2400
24;homme;masculin;æ;140;685;1780;2160
24;homme;masculin;ʌ;143;660;1370;2110
24;homme;masculin;ʌ;145;680;1300;2100
24;homme;masculin;ɑ;140;760;1260;2120
24;homme;masculin;ɑ;135;770;1140;2020
24;homme;masculin;ɔ;145;500;800;1850
24;homme;masculin;ɔ;132;600;1000;2000
24;homme;masculin;ʊ;157;380;1060;1950
24;homme;masculin;ʊ;150;470;1220;2150
24;homme;masculin;u;162;324;800;2220
24;homme;masculin;u;139;290;800;2150
24;homme;masculin;ɜ˞;150;560;1350;1780
24;homme;masculin;ɜ˞;150;600;1470;1820
25;homme;masculin;i;110;250;2190;3000
25;homme;masculin;i;106;254;2085;2890
25;homme;masculin;ɪ;111;330;1967;2670
25;homme;masculin;ɪ;108;430;1940;2590
25;homme;masculin;ɛ;116;464;2100;2700
25;homme;masculin;ɛ;105;504;1995;2780
25;homme;masculin;æ;94;595;1900;2700
25;homme;masculin;æ;100;670;1860;2500
25;homme;masculin;ʌ;96;620;1200;2420
25;homme;masculin;ʌ;105;630;1127;2420
25;homme;masculin;ɑ;100;750;1160;2360
25;homme;masculin;ɑ;96;740;1155;2330
25;homme;masculin;ɔ;101;460;740;2300
25;homme;masculin;ɔ;105;494;789;2420
25;homme;masculin;ʊ;113;400;1020;2200
25;homme;masculin;ʊ;128;450;1028;2160
25;homme;masculin;u;140;392;1000;2120
25;homme;masculin;u;116;350;898;2140
25;homme;masculin;ɜ˞;117;547;1340;1688
25;homme;masculin;ɜ˞;128;512;1280;1570
26;homme;masculin;i;123;246;2185;2730
26;homme;masculin;i;133;267;2280;2800
26;homme;masculin;ɪ;140;420;2300;2800
26;homme;masculin;ɪ;120;384;2110;2620
26;homme;masculin;ɛ;120;480;1920;2540
26;homme;masculin;ɛ;112;551;1788;2450
26;homme;masculin;æ;114;628;1837;2570
26;homme;masculin;æ;111;622;1890;2560
26;homme;masculin;ʌ;114;628;1254;2470
26;homme;masculin;ʌ;114;617;1255;2480
26;homme;masculin;ɑ;117;690;1072;2660
26;homme;masculin;ɑ;103;630;1000;2530
26;homme;masculin;ɔ;117;510;700;2650
26;homme;masculin;ɔ;120;504;756;2540
26;homme;masculin;ʊ;122;465;990;2440
26;homme;masculin;ʊ;125;462;976;2450
26;homme;masculin;u;120;324;708;2440
26;homme;masculin;u;157;387;786;2518
26;homme;masculin;ɜ˞;122;488;1468;1712
26;homme;masculin;ɜ˞;118;472;1465;1725
27;homme;masculin;i;138;275;2060;2800
27;homme;masculin;i;136;270;2020;2790
27;homme;masculin;ɪ;133;349;2030;2760
27;homme;masculin;ɪ;136;340;1940;2560
27;homme;masculin;ɛ;120;444;1800;2500
27;homme;masculin;ɛ;127;380;1800;2440
27;homme;masculin;æ;125;688;1600;2300
27;homme;masculin;æ;122;660;1570;2380
27;homme;masculin;ʌ;128;565;1157;2310
27;homme;masculin;ʌ;130;550;1150;2250
27;homme;masculin;ɑ;125;712;1024;2250
27;homme;masculin;ɑ;125;670;1080;2300
27;homme;masculin;ɔ;125;550;913;2360
27;homme;masculin;ɔ;126;550;890;2280
27;homme;masculin;ʊ;128;360;1028;2160
27;homme;masculin;ʊ;140;390;1060;2150
27;homme;masculin;u;133;294;930;2050
27;homme;masculin;u;140;280;1000;2160
27;homme;masculin;ɜ˞;125;440;1250;1625
27;homme;masculin;ɜ˞;130;480;1160;1520
28;homme;masculin;i;125;320;2160;2900
28;homme;masculin;i;133;267;2230;3000
28;homme;masculin;ɪ;115;440;1750;2400
28;homme;masculin;ɪ;116;390;1780;2450
28;homme;masculin;ɛ;117;525;1800;2480
28;homme;masculin;ɛ;110;520;1750;2390
28;homme;masculin;æ;111;660;1600;2400
28;homme;masculin;æ;120;720;1680;2430
28;homme;masculin;ʌ;117;600;1250;2300
28;homme;masculin;ʌ;125;575;1170;2240
28;homme;masculin;ɑ;111;730;1160;2340
28;homme;masculin;ɑ;117;860;1280;2470
28;homme;masculin;ɔ;114;560;810;2290
28;homme;masculin;ɔ;116;584;840;2280
28;homme;masculin;ʊ;130;455;970;2140
28;homme;masculin;ʊ;120;456;1040;2038
28;homme;masculin;u;125;350;820;2130
28;homme;masculin;u;128;366;772;2058
28;homme;masculin;ɜ˞;111;450;1420;1870
28;homme;masculin;ɜ˞;118;472;1430;1840
29;homme;masculin;i;133;333;2305;3200
29;homme;masculin;i;131;326;2260;3030
29;homme;masculin;ɪ;125;375;2188;2750
29;homme;masculin;ɪ;133;400;2150;2680
29;homme;masculin;ɛ;125;500;1980;2480
29;homme;masculin;ɛ;150;480;1950;2340
29;homme;masculin;æ;116;640;1710;2450
29;homme;masculin;æ;123;615;1720;2220
29;homme;masculin;ʌ;116;583;1110;2360
29;homme;masculin;ʌ;117;608;1120;2700
29;homme;masculin;ɑ;111;777;1170;2600
29;homme;masculin;ɑ;114;750;1175;2820
29;homme;masculin;ɔ;105;630;891;2519
29;homme;masculin;ɔ;114;572;924;2660
29;homme;masculin;ʊ;125;438;975;2300
29;homme;masculin;ʊ;140;420;938;2300
29;homme;masculin;u;133;333;800;2130
29;homme;masculin;u;140;320;840;2150
29;homme;masculin;ɜ˞;120;480;1320;1870
29;homme;masculin;ɜ˞;127;483;1335;1844
30;homme;masculin;i;166;267;2300;2940
30;homme;masculin;i;156;220;2300;2900
30;homme;masculin;ɪ;154;431;2040;2460
30;homme;masculin;ɪ;155;360;2010;2400
30;homme;masculin;ɛ;150;565;1950;2500
30;homme;masculin;ɛ;180;540;2000;2450
30;homme;masculin;æ;143;600;2000;2570
30;homme;masculin;æ;138;590;1950;2460
30;homme;masculin;ʌ;157;630;1140;2200
30;homme;masculin;ʌ;186;630;1170;2280
30;homme;masculin;ɑ;146;730;1048;2450
30;homme;masculin;ɑ;155;730;1130;2320
30;homme;masculin;ɔ;150;600;900;2400
30;homme;masculin;ɔ;178;640;890;2280
30;homme;masculin;ʊ;160;448;960;2200
30;homme;masculin;ʊ;196;450;1000;2180
30;homme;masculin;u;167;333;835;2170
30;homme;masculin;u;198;280;750;2170
30;homme;masculin;ɜ˞;163;488;1300;1600
30;homme;masculin;ɜ˞;163;490;1380;1620
31;homme;masculin;i;120;312;2380;2900
31;homme;masculin;i;120;300;2350;3000
